,Name,style,IBU,ABV,Description
4,Bishop's Barrel No. 17,Adambier,30,13.2,"Adambier Aged in Bourbon Barrels

Bishop’s Barrel No. 17 pours a mahogany color with ruby highlights. It is a slightly hazy beer with pronounced toffee and honey aromas, and chocolate when it's cold. The smoke from the base beer is subtle, and as it warms up, it becomes more in balance with the rest of the flavors. The wood character blends well with the smoked malt.

The whiskey plays the supporting role in this beer. At first sip, the honey and chocolate are well balanced, with the whiskey finishing it off. This is indeed a dessert beer. The smoke provides just enough to balance the sweetness. Perfectly paired with a bar of chocolate smothered in toffee and honey, next to the fire while wearing your finest velvet smoking jacket. Read Less"
5,Adam,Adambier,50,10.0,Adambier
8,Dortmunder Adambier,Adambier,50,12.7,"A recreation of a historical German style, the Dortmunder Adambier became extinct after the implementation of the Reinheitsgebot. Brewed with a substantial amount of dark, smoked malts, traditional German hops, and fermented with Brettanomyces, the Adambier was aged in oak barrels for one year. Read Less"
10,Arcanum (Singularis #1) (Hillrock Estate Solera Whiskey Barrel),Adambier,46,11.0,Adambier
11,Thurston Adambier,Adambier,18,12.0,Adambier
16,Wild Sour Series: Adambier,Adambier,40,9.0,Adambier
17,Deacon's Nightcap,Barleywine - English,33,10.5,"Deacon’s Nightcap is a collaboration between Figueroa Mountain and the Maltose Falcons homebrew club. Founded in 1974, the Maltose Falcons are the oldest homebrew club in California. The club was active in the 1978 in efforts to legalize homebrewing in the state of California. The current club continues to be recognized as one of the premier homebrewing clubs in the US and produces outstanding quality beer.
Adambier is a rare style that tastes like a cross between an English Barley wine and a doppelbock. What should you look for in an Adambier? Malt, malt, and more malt. Just as a big Belgians will showcase esters and yeast complexity, and a double IPA displays the hops, an Adambier defines complex maltiness. The malt is caramelized and roasty, but those flavors come with a long boil and fermentation, not with the use of roast or caramel malts. The recipe for this collaboration is based on the club’s Vice President, John Aitchison’s infamous homebrew version. Read Less"
24,Who The F%&# Is Adam,Adambier,10,9.1,Adambier
26,Du Hast Mich Gefrogt! German-style Sour Dark Adambier,Adambier,60,8.2,Adambier
29,Bourbon Barrel Aged Balt The More,Altbier,36,10.0,Altbier
30,Barrel Roll No. 7 - Tailslide (2013),Altbier,44,10.5,"It’s with heightened awareness that one attempts a maneuver as daring as the Tailslide, and with equal poise that we bring you this bourbon barrel-aged version of our popular 4th Anniversary Ale. Originally crafted as a doubled version of our alt-bier with a percentage of barrel-aged stout blended in, our Dopplesticke is now 100% conditioned in barrels to fully complement its substantial caramel malt profile. Abundant whiskey aromatics and spicy flavors blend pleasantly with the delicate esters of this strong ale, resulting in an ambitious balance of beer and spirit. - See more at: http://hangar24brewery.com/co_barrel_tailslide.htm#sthash.e3rJnUSF.dpuf Read Less"
31,Amber Apple Pie Ale,Altbier,29,5.0,"This is a variation on the ""I DO"" Brew amber ale infused with baked granny smith apples soaked in cinnamon and b"
40,DoppelSticky,Altbier,66,7.7,Altbier
47,Geistbier,Altbier,52,10.6,Altbier
51,Sticke Biscuit,Altbier,40,9.8,"Historically brewed for special occasions, a sticke alt is a “secret” stronger version of the German Altbier style. Altbiers are fermented with a unique yeast that blurs the line between ale and lager, striking a delicate balance with assertive malt and hop flavors. Traditionally a neighborhood specialty, old-time Alt breweries would often add their own twist on the style to distinguish it from local competition. We pay homage to that tradition with our variation which we brewed with three different types of biscuit malt and aged in bourbon barrels for six months. The result is a complex amber-hued beer with subtle notes of toffee, baking spice, and toasted sourdough. Read Less"
52,Acceptance,Altbier,33,5.0,Altbier
56,Maltlanta Doppel Sticke,Altbier,50,9.3,Altbier
57,Altimatum,Altbier,25,5.0,Altbier
58,Bourbon Street Alt,Altbier,25,8.5,Altbier
59,Hexenbrau Altbier,Altbier,35,5.5,"Subtly sweet, creme brule"
61,Decadent Tourist,Altbier,33,5.0,Altbier
62,Roselare Fourth Anniversary Doppelsticke Altbier,Altbier,75,8.5,Altbier
66,Blank Space,Altbier,48,5.6,Altbier
67,Doppelsticke Altbier,Altbier,34,8.5,"Super-strong (""double"") Alt-style ale, rich copper nutty-malty sweetness, well hopped with spicy aftertones."
68,Frosch Bier,Altbier,31,4.9,Our take on an Altbier. Malt forward with big caramel notes but a smo
70,Double Alt.,Altbier,30,8.0,Altbier
71,Whiskey Sticke Alt,Altbier,64,9.5,Altbier
73,Altbitter,Altbier,55,9.5,Altbier
78,Revenge of the Emu,Australian Sparkling Ale,25,5.4,"An all Australian single hopped Sparkling Ale dedicated to The Great Emu War of 1932. (batch 1&2 used Galaxy, batch 3 comi"
79,Down Under the Covers,Australian Sparkling Ale,24,5.4,Australian Sparkling Ale
80,Corcovado Sparkling Summer Ale,Australian Sparkling Ale,33,5.9,Australian Sparkling Ale
81,Great Emu War,Australian Sparkling Ale,30,7.0,"November 2, 1932, the Australian military traveled to Campion armed with machine guns. Some 20,000 emus had recently migrated inland and were obliterating wheat crops. The hordes of emu managed to evade the bulk of the military attack over the six-day period, during which 2,500 rounds of ammunition had been fired and merely a few hundred birds killed. The Great Emu War was crafted in honor of this seemingly spurious encounter. This Australian Sparkling Ale was generously carbonated and uses Pride of Ringwood hops, once renowned as the hop with the highest alpha acid content in the world. Enjoy its history, its bubbly character, and its profoundly resinous, fruity aroma. Read Less"
84,Foot Men Series - Sparkling Ale,Australian Sparkling Ale,20,5.9,"Light bodies, effervescent ale. Very clean, mild malt profile with a slightly bitter hop presence with little hop aroma. Mild esters and flavor contributions are evident from the yeast, too. This would/should fly with these 90°F days hitting us. Read Less"
86,Boom Crash Hopera,Australian Sparkling Ale,77,9.0,Australian Sparkling Ale
88,Budgie Smuggler,Australian Sparkling Ale,30,5.8,Australian Sparkling Ale
89,Arvo Tinny,Australian Sparkling Ale,51,6.0,Australian Sparkling Ale
91,Bogan,Australian Sparkling Ale,44,4.5,"bright lemony citrus notes clean, crisp off-dry finish light &"
92,Adelaide Pale,Australian Sparkling Ale,30,5.1,Australian Sparkling Ale
95,Acca Dacca,Australian Sparkling Ale,20,5.3,Australian Sparkling Ale
97,Ramblin Rose,Australian Sparkling Ale,10,5.0,Light and e
99,Adamanthea,Australian Sparkling Ale,30,4.2,"Our version of this Australian take on British Ordinary Bitter, with a light, malty body, a big helping of carbonation, and the bright, citrusy finish of Pacific Jade hops. Read Less"
104,Life,Australian Sparkling Ale,12,7.5,Blending champagne yeast with our house American ale strain creates a soft effervescence worthy of any c
